# machine: x86_64, 24 logical CPUs, python 3.14.7, 4 concurrent workers, median of 3 runs after warm-up
key,raw_bytes,compressed_bytes,encode_s,decode_s,compression_gb_per_s,decompression_gb_per_s
single/lsm,8305920,685734,1.4746,0.0284,0.00563,0.29213
single/lsp,8305920,52467,0.7819,0.0088,0.01062,0.94135
single/lspf,8305920,506324,0.7338,0.027,0.01132,0.30771
single/lsrr,8305920,233162,0.7346,0.0159,0.01131,0.5211
single/lssfr,8305920,61590,0.3154,0.0092,0.02633,0.90491
single/ltlt,8305920,19218,0.3379,0.0068,0.02458,1.21725
single/mcc,8305920,299293,0.5376,0.0195,0.01545,0.42513
single/mdts,2079360,116194,0.1729,0.0055,0.01203,0.37863
single/mdww,2079360,120784,0.1729,0.0058,0.01202,0.35624
single/mgws,8305920,45074,0.6489,0.025,0.0128,0.33264
single/mn2t,8305920,385033,0.8303,0.0178,0.01,0.46729
single/mntpr,8305920,287096,0.8474,0.018,0.0098,0.46236
single/mp1,2079360,74173,0.2262,0.0055,0.00919,0.38048
single/mp2,2079360,86369,0.2075,0.0052,0.01002,0.39717
single/mpts,2079360,86535,0.1804,0.0045,0.01152,0.46535
single/mpww,2079360,105357,0.1726,0.0056,0.01205,0.37414
single/msl,8305920,487951,1.7444,0.0245,0.00476,0.33854
single/msqs,2079360,61164,0.1984,0.0037,0.01048,0.55453
single/mwd,2079360,105087,0.1789,0.0051,0.01162,0.40831
single/mwd1,2079360,48185,0.1322,0.0036,0.01573,0.57756
single/mwd2,2079360,59364,0.1255,0.004,0.01657,0.52325
single/mwd3,2079360,59396,0.1268,0.0039,0.0164,0.53369
single/mwp,2079360,71677,0.1944,0.0041,0.0107,0.50414
single/mwp1,2079360,47510,0.1308,0.0035,0.0159,0.59689
single/mwp2,2079360,55037,0.1293,0.0045,0.01609,0.46387
single/mwp3,2079360,115480,0.1769,0.0057,0.01175,0.36431
single/mx2t,8305920,383005,0.7964,0.0182,0.01043,0.45701
single/mxtpr,8305920,353725,0.7822,0.019,0.01062,0.43778
single/nsss,8305920,69072,0.5168,0.0087,0.01607,0.94978
single/p1ps,2079360,78731,0.1883,0.0043,0.01104,0.48108
single/p1ww,2079360,89545,0.1797,0.0055,0.01157,0.3788
single/p2ps,2079360,92475,0.1835,0.0055,0.01133,0.38098
single/p2ww,2079360,87917,0.18,0.0048,0.01155,0.43547
single/pev,8305920,116513,0.4913,0.0102,0.01691,0.81326
single/phiaw,2079360,82483,0.2166,0.0051,0.0096,0.40541
single/phioc,2079360,83982,0.2163,0.0053,0.00961,0.39299
single/pp1d,2079360,71857,0.1924,0.0043,0.01081,0.48101
single/ptype,8305920,46546,0.4514,0.006,0.0184,1.3927
single/rhoao,2079360,11657,0.2624,0.0048,0.00793,0.43551
single/ro,8305920,7090,0.1781,0.008,0.04663,1.04289
single/rsn,8305920,11831,0.1717,0.0067,0.04837,1.24195
single/sd,8305920,6268,0.1232,0.0073,0.06741,1.14137
single/sdfor,8305920,184315,0.5704,0.0172,0.01456,0.48265
single/sdor,8305920,106094,0.3867,0.0106,0.02148,0.78091
single/sf,8305920,5154,0.1353,0.008,0.06139,1.04169
single/shts,2079360,64964,0.2013,0.004,0.01033,0.52581
single/shww,2079360,71950,0.1921,0.0042,0.01083,0.49093
single/skt,8305920,424322,0.7813,0.019,0.01063,0.43705
single/slhf,8305920,498050,0.6712,0.0208,0.01237,0.39946
single/slor,8305920,231419,0.5333,0.0228,0.01557,0.36493
single/slt,8305920,33478,0.349,0.0063,0.0238,1.32892
single/smlt,8305920,1449,0.0785,0.0063,0.10586,1.32256
single/sp,8305920,41243,0.7677,0.0144,0.01082,0.57588
single/src,8305920,27757,0.3289,0.0071,0.02526,1.16676
single/sro,8305920,39386,0.3675,0.0085,0.0226,0.97804
single/sshf,8305920,438439,0.7897,0.0187,0.01052,0.44525
single/ssr,8305920,168505,0.5125,0.0124,0.01621,0.66985
single/ssrc,8305920,80859,0.5922,0.0091,0.01402,0.90822
single/ssrd,8305920,162303,0.5132,0.0115,0.01619,0.72406
single/ssrdc,8305920,56303,0.5888,0.0084,0.01411,0.98526
single/ssro,8305920,106794,0.445,0.0108,0.01866,0.77099
single/sst,8305920,414600,0.6175,0.0199,0.01345,0.41642
single/stl1,8305920,26774,0.4729,0.0068,0.01756,1.22659
single/stl2,8305920,26514,0.7412,0.013,0.01121,0.6408
single/stl3,8305920,23636,0.466,0.0104,0.01782,0.80115
single/stl4,8305920,24318,0.4705,0.0067,0.01765,1.2469
single/str,8305920,268296,0.3618,0.013,0.02296,0.63958
single/strc,8305920,132340,0.4771,0.011,0.01741,0.75185
single/strd,8305920,209181,0.9474,0.0125,0.00877,0.66563
single/strdc,8305920,126768,1.0492,0.0104,0.00792,0.79501
single/swh,2079360,48464,0.0654,0.0057,0.0318,0.36512
single/swh1,2079360,74392,0.1947,0.0045,0.01068,0.46166
single/swh2,2079360,57653,0.1228,0.0038,0.01693,0.54627
single/swh3,2079360,47222,0.1306,0.0041,0.01592,0.5085
single/swvl1,8305920,148935,0.3547,0.0114,0.02341,0.73175
single/swvl2,8305920,152261,0.3519,0.0111,0.0236,0.75059
single/swvl3,8305920,154467,0.3518,0.0118,0.02361,0.70216
single/swvl4,8305920,133272,0.3574,0.0122,0.02324,0.67972
single/tauoc,2079360,37277,0.2517,0.0046,0.00826,0.45597
single/tcc,8305920,114837,0.5814,0.0138,0.01429,0.60041
single/tciw,8305920,131215,1.0414,0.0233,0.00798,0.35667
single/tclw,8305920,95651,0.5512,0.0116,0.01507,0.71412
single/tco3,8305920,33105,0.6333,0.0101,0.01312,0.81914
single/tcrw,8305920,5795,0.1887,0.0099,0.04403,0.83747
single/tcslw,8305920,43845,0.5153,0.0109,0.01612,0.76371
single/tcsw,8305920,29403,0.6187,0.0079,0.01343,1.052
single/tcw,8305920,287212,0.8137,0.0145,0.01021,0.572
single/tcwv,8305920,283468,0.8032,0.0137,0.01034,0.60643
single/tisr,8305920,24843,0.544,0.0079,0.01527,1.05247
single/tmax,2079360,84393,0.1864,0.0042,0.01116,0.49302
single/totalx,8305920,339214,0.7986,0.0155,0.0104,0.53568
single/tp,8305920,120245,0.8626,0.0116,0.00963,0.7163
single/tplb,8305920,194434,0.7184,0.0135,0.01156,0.61336
single/tplt,8305920,210180,0.7409,0.0143,0.01121,0.58183
single/tsn,8305920,306002,0.8326,0.0166,0.00998,0.49899
single/tsr,8305920,168937,0.5256,0.0117,0.0158,0.7113
single/tsrc,8305920,71235,0.5733,0.0094,0.01449,0.8839
single/ttr,8305920,226919,0.9503,0.0128,0.00874,0.65112
single/ttrc,8305920,110055,1.0886,0.0113,0.00763,0.73788
single/tvh,8305920,26770,0.3009,0.0056,0.0276,1.48762
single/tvl,8305920,34566,0.32,0.0067,0.02595,1.24787
single/u10n,8305920,571698,0.6577,0.0224,0.01263,0.37146
single/ust,2079360,25441,0.1388,0.0025,0.01498,0.83912
single/uvb,8305920,57590,0.3293,0.0101,0.02522,0.82638
single/v10n,8305920,560847,0.6854,0.0214,0.01212,0.38854
single/vimd,8305920,625613,0.6367,0.026,0.01305,0.31985
single/vst,2079360,20865,0.1568,0.003,0.01326,0.6872
single/wdw,2079360,34714,0.1461,0.0033,0.01424,0.6243
single/wind,2079360,126699,0.1803,0.0062,0.01153,0.33506
single/wmb,2079360,49469,0.2578,0.0041,0.00806,0.5014
single/wsk,2079360,31831,0.1487,0.0033,0.01398,0.62134
single/wsp,2079360,59542,0.2092,0.0064,0.00994,0.32262
single/wss,2079360,51917,0.2169,0.005,0.00959,0.41568
single/wstar,2079360,61552,0.1272,0.0038,0.01635,0.5444
single/z,8305920,351437,0.5989,0.0166,0.01387,0.49978
single/zust,8305920,300224,0.8138,0.0145,0.01021,0.57167
